# luminosity_distance	mass_1	mass_2	ra	dec
3.409889403179436727e+02 9.961191990840244870e+00 9.532430411711786178e+00 6.456171490556323889e-01 1.250541140831799680e+00
3.654529273684353257e+02 2.130627935819668650e+01 5.036448727801919212e+00 2.153518560556791694e+00 5.856257360256864608e-01
4.344839723796061435e+02 9.765140473469184457e+00 9.617991291377981256e+00 2.216654685855297569e+00 7.361451004531853748e-01
3.058582701388550049e+02 1.162598096118093061e+01 8.200462385025165446e+00 2.153844080324800014e+00 5.704639326060706450e-01
1.981825990009724592e+02 1.280969153330339694e+01 7.545842800936178207e+00 2.005394694102627273e+00 2.240512028554454693e-01
4.201329243268244795e+02 1.179257602707823338e+01 8.104632151552841890e+00 2.062632997940193835e+00 1.160950932913362932e+00
3.484949005086016882e+02 9.991934117350183442e+00 9.525351421581945033e+00 2.046524337498461854e+00 2.816559335058680946e-01
3.290770785288214029e+02 1.156070426005638652e+01 8.270648366781927052e+00 2.125826979752726498e+00 4.107902581053152757e-01
1.704788881777283791e+02 1.026361403801495342e+01 9.194664947439816771e+00 1.811203562772615072e+00 3.529106159235732842e-02
1.929624853841592653e+02 1.541605269620812457e+01 6.410912282022629860e+00 1.878494115131669862e+00 9.828331364102731171e-02
4.535179047991315997e+02 1.035802231372696980e+01 9.146304744681630794e+00 2.229022694633084001e+00 6.499168249341161774e-01
3.611092679086542603e+02 1.146404560143049345e+01 8.323329607840419087e+00 2.092557334989622486e+00 3.566601967404559037e-01
4.617711642267382786e+02 1.185124067786010649e+01 8.037560200387094511e+00 1.896941380644649566e+00 1.242291577409577297e+00
2.648892768959473756e+02 1.101765914999111651e+01 8.598165775223844065e+00 2.049733564521881046e+00 3.167448565011390937e-01
3.372888120434087682e+02 1.081191243368468236e+01 8.864589860505160956e+00 2.088364045653596790e+00 4.187159451842548119e-01
3.453618390410053962e+02 1.471160217149626703e+01 6.722093868559203322e+00 2.154804381127902513e+00 4.632364850470767070e-01
2.797424910729840235e+02 1.481600523491608001e+01 6.588539032683736529e+00 1.984953243894806985e+00 2.238016182416207034e-01
4.155459982951537654e+02 1.339901409493019280e+01 7.198179325041538235e+00 2.194973193292326652e+00 6.176347264735780884e-01
2.331548321463146465e+02 1.289556339584047429e+01 7.491745050874246026e+00 2.226735508145162967e+00 8.248996589413483127e-01
3.758536825126950021e+02 1.024883925508973626e+01 9.379345616881565206e+00 2.008888510965705532e+00 1.176974213373216172e+00
2.095921579923048341e+02 1.362602217780876401e+01 7.148222317406387916e+00 2.039899380705552545e+00 3.110374716959610208e-01
3.848675100918872545e+02 1.071927983218894731e+01 8.922581338829578712e+00 2.182444278867690102e+00 6.028137244839332221e-01
3.188645382428659900e+02 1.195169344506009068e+01 7.905145027016235559e+00 2.092688350986919854e+00 3.896446944162649251e-01
3.869354535311224481e+02 1.168809692694740754e+01 8.196890564573896754e+00 2.175436036830054043e+00 6.301343340484534261e-01
4.445270617529383230e+02 1.081590915765327843e+01 8.802729994226032417e+00 2.105446314872480240e+00 1.018906043559334229e+00
2.442343643083524967e+02 1.140788670404796790e+01 8.290579103885457712e+00 2.077520910358556794e+00 4.245965015060019776e-01
4.627122210602032624e+02 1.057805747066318425e+01 9.092468911343249971e+00 2.174490628047983432e+00 6.606245985115590802e-01
3.020290607936523202e+02 9.910272927908785334e+00 9.609668891956005154e+00 1.812455308154657274e+00 1.209521525515810714e+00
3.748072695680290281e+02 1.504863286937468558e+01 6.532775495798298415e+00 1.655641273591131224e+00 1.269420685352988354e+00
4.643210879657336250e+02 1.338110261087970621e+01 7.236870780758312804e+00 2.031713377082165373e+00 1.080207188366943294e+00
2.602933207559716493e+02 1.259762715433679148e+01 7.682799530992349801e+00 1.959682647309894499e+00 1.158395674303325462e+00
1.886297047682100470e+02 1.108709975588247687e+01 8.600233272493241543e+00 2.142927074446746794e+00 8.869261002528276983e-01
4.384934439385396558e+02 1.056584486335681206e+01 9.057248141916474538e+00 1.442755372134380210e+00 1.270910256624835810e+00
3.147347961673542045e+02 1.250730812021932081e+01 7.681453316487127481e+00 1.434211799511134089e+00 1.335708821346568653e+00
